,line_type,area,glac_id,anlys_time,db_area,min_elev,mean_elev,max_elev,src_date,glac_name,glac_stat,gone_date,release_dt,first_coordinate,lng,lat,cluster,closest_cluster_lat,closest_cluster_lng
140,dc,0,G222097E59071N,1176612021,383.689,0,0,0,997660800,Grand Plateau Glacier,e,e,1177210698,"-138.0527,59.07276",-138.0527,59.07276,2,59.458963678350514,-138.40528046597936
141,dc,0,G222097E59071N,1176612021,383.689,0,0,0,997660800,Grand Plateau Glacier,e,e,1177210698,"-137.89739,59.08625",-137.89739,59.08625,2,59.458963678350514,-138.40528046597936
142,dc,0,G222097E59071N,1176612021,383.689,0,0,0,997660800,Grand Plateau Glacier,e,e,1177210698,"-138.08055,59.02347",-138.08055,59.02347,2,59.458963678350514,-138.40528046597936
143,dc,0,G222097E59071N,1176612021,383.689,0,0,0,997660800,Grand Plateau Glacier,e,e,1177210698,"-137.89974,59.02124",-137.89974,59.02124,48,58.79177845362319,-137.32780668695654
144,dc,0,G222709E58921N,1148959006,121.826,0,0,0,933465600,Margerie Glacier,e,e,1150232094,"-137.077091,59.047196",-137.077091,59.047196,48,58.79177845362319,-137.32780668695654
145,dc,0,G222709E58921N,1148959006,121.826,0,0,0,933465600,Margerie Glacier,e,e,1150232094,"-137.171758,59.00662",-137.171758,59.00662,48,58.79177845362319,-137.32780668695654
146,dc,0,G222097E59071N,1176612021,383.689,0,0,0,997660800,Grand Plateau Glacier,e,e,1177210698,"-137.96284,59.09431",-137.96284,59.09431,2,59.458963678350514,-138.40528046597936
147,dc,0,G222097E59071N,1176612021,383.689,0,0,0,997660800,Grand Plateau Glacier,e,e,1177210698,"-137.94852,59.11669",-137.94852,59.11669,2,59.458963678350514,-138.40528046597936
148,dc,0,G222440E59162N,1177209907,495.686,0,0,0,997660800,Melbern Glacier,e,e,1177210698,"-137.04334,59.06968",-137.04334,59.06968,48,58.79177845362319,-137.32780668695654
149,dc,0,G222097E59071N,1176612021,383.689,0,0,0,997660800,Grand Plateau Glacier,e,e,1177210698,"-137.79392,59.03046",-137.79392,59.03046,48,58.79177845362319,-137.32780668695654
150,dc,0,G222709E58921N,1148959006,121.826,0,0,0,933465600,Margerie Glacier,e,e,1150232094,"-137.140992,59.001393",-137.140992,59.001393,48,58.79177845362319,-137.32780668695654
151,dc,0,G222709E58921N,1148959006,121.826,0,0,0,933465600,Margerie Glacier,e,e,1150232094,"-137.068822,59.032244",-137.068822,59.032244,48,58.79177845362319,-137.32780668695654
152,dc,0,G222709E58921N,1148959006,121.826,0,0,0,933465600,Margerie Glacier,e,e,1150232094,"-137.123996,59.020854",-137.123996,59.020854,48,58.79177845362319,-137.32780668695654
153,dc,0,G222440E59162N,1177209907,495.686,0,0,0,997660800,Melbern Glacier,e,e,1177210698,"-137.35264,59.25859",-137.35264,59.25859,48,58.79177845362319,-137.32780668695654
