Glacier Name,Glacier Exists?,Area,Glacier Melt Record Date,Latitude,Longitude,Area Analysis Date,Temperature in F,state_id,state_name
Minor Glacier,Exists,0.645376,,43.191093,-109.661079,8/1/2006,56.8,WY,Wyoming
Minor Glacier,Exists,0.645376,,43.191093,-109.661079,8/1/2006,56.8,ID,Idaho
Minor Glacier,Exists,0.645376,,43.191093,-109.661079,8/1/2006,56.8,IN,Indiana
Mint Glacier,Exists,0.780586,,61.879101,-149.056963,7/1/2015,52.96,AK,Alaska
Mixup Peak,Gone,0.059629,1631145600,48.450757,-121.046449,8/1/2006,56.8,WA,Washington
Moomaw Glacier,Exists,0.061695,,40.210038,-105.668483,4/1/2016,43.09,CO,Colorado
Morse Glacier,Exists,40.8343,,59.201926,-136.535196,7/1/2015,52.96,AK,Alaska
Mother Goose Glacier,Exists,1.22926,,60.351927,-149.193427,7/1/2015,52.96,AK,Alaska
Mother Goose Glacier,Exists,1.22926,,60.351927,-149.193427,7/1/2015,52.96,NE,Nebraska
Mount Fiske Glacier,Exists,0.110994,,37.140897,-118.667717,8/1/2006,56.8,AZ,Arizona
Mount Fiske Glacier,Exists,0.110994,,37.140897,-118.667717,8/1/2006,56.8,CA,California
Mount Watson East,Gone,0.130727,1441756800,48.65455,-121.558147,8/1/2006,56.8,WA,Washington
Mountaineer Glacier,Exists,0.13097,,47.34238,-113.876272,8/1/2006,56.8,MT,Montana
Mud Creek Glacier,Exists,0.109618,,41.388448,-122.195858,8/1/2006,56.8,CA,California
Muir Glacier,Exists,80.2843,,59.27395,-136.494529,7/1/2015,52.96,AK,Alaska
Muir Snowfield,Exists,0.97718,,46.833262,-121.738316,8/1/2006,56.8,WA,Washington
Muir Snowfield,Exists,0.97718,,46.833262,-121.738316,8/1/2006,56.8,IA,Iowa
Muth Glacier,Exists,1.11753,,61.110922,-147.656351,6/1/2010,48.27,AK,Alaska
Navajo Glacier,Exists,0.034276,,40.056127,-105.647242,8/1/2006,56.8,IA,Iowa
Navajo Glacier,Exists,0.034276,,40.056127,-105.647242,8/1/2006,56.8,CO,Colorado
Neacola Glacier,Exists,51.6916,,60.852087,-153.34442,7/1/2015,52.96,AK,Alaska
